row,t1,t2,ks_stat,ks_pval
0,0,5,0.3,0.7869297884777761
0,5,10,0.5,0.16782134274394334
0,10,20,0.8,0.002056766762649115
0,20,30,0.8,0.002056766762649115
1,0,5,1.0,1.0825088224469026e-05
1,5,10,0.3,0.7869297884777761
1,10,20,0.3,0.7869297884777761
1,20,30,0.9,0.00021650176448938054
