row,t1,t2,jsd
0,0,5,0.7296550185373305
0,5,10,0.7537144195605167
0,10,20,0.5767427292559726
0,20,30,0.3281739397693393
1,0,5,0.7244958100057582
1,5,10,0.8325545393169104
1,10,20,0.4280559835902663
1,20,30,0.2697698654209558
