Time,Row,Col,Detected_radius,R_median,G_median,B_median,A_star_median,A_star_reference_mean,A_star_reference_std,A_star_mean_all,A_star_std_dev_all,A_star_scale_factor,A_star_offset,A_star_median_normalized
0,0,0,28,93.0,97.0,148.0,139.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
0,0,1,28,93.0,93.0,149.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,0,2,28,93.0,95.0,150.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,0,3,29,94.0,95.0,151.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,0,4,29,94.0,95.0,153.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,0,5,28,97.0,99.0,154.0,141.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
0,0,6,29,97.0,99.0,153.0,141.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
0,0,7,28,93.0,95.0,150.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,0,8,26,95.0,100.0,154.0,140.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
0,0,9,23,99.0,106.0,157.0,138.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,138.0
0,1,0,24,88.0,90.0,147.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,1,1,28,88.0,88.0,146.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,1,2,27,89.0,88.0,149.0,144.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
0,1,3,28,92.0,91.0,150.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,1,4,28,91.0,90.0,150.0,144.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
0,1,5,28,90.0,89.0,149.0,144.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
0,1,6,29,91.0,91.0,148.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,1,7,27,88.0,90.0,152.0,144.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
0,1,8,29,96.0,100.0,152.0,140.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
0,1,9,26,100.0,106.0,159.0,139.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
0,2,0,27,99.0,103.0,157.0,140.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
0,2,1,27,97.0,93.0,153.0,145.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
0,2,2,26,96.0,94.0,147.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,2,3,28,97.0,97.0,153.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,2,4,28,96.0,96.0,153.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,2,5,28,94.0,94.0,150.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,2,6,29,93.0,94.0,149.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,2,7,28,93.0,95.0,151.0,141.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
0,2,8,27,95.0,98.0,155.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,2,9,26,99.0,105.0,161.0,140.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
0,3,0,29,112.0,118.0,182.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
0,3,1,28,109.0,115.0,184.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,3,2,27,111.0,116.0,184.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,3,3,28,103.0,108.0,174.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,3,4,27,100.0,106.0,174.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,3,5,28,110.0,118.0,178.0,140.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,140.0
0,4,0,24,115.0,123.0,185.0,141.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,141.0
0,4,1,25,107.0,111.0,183.0,145.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,145.0
0,4,2,26,109.0,112.0,181.0,144.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
0,4,3,28,102.0,104.0,169.0,144.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,144.0
0,4,4,28,102.0,106.0,171.0,143.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,143.0
0,4,5,26,102.0,109.0,174.0,142.0,142.5,1.2583057392117916,142.04761904761904,1.5458956016952026,1.0,0.0,142.0
10,0,0,29,96.0,101.0,151.0,139.0,142.33333333333334,1.1055415967851334,142.04761904761904,1.5458956016952026,1.0,0.0,139.0
