Time,Row,Col,Detected_radius,R_median,G_median,B_median,A_star_median
20,3,1,29,141.0,119.0,195.0,153.0
20,3,2,28,141.0,120.0,195.0,152.0
20,3,3,28,121.0,131.0,205.0,143.0
20,3,4,29,120.0,131.0,207.0,143.0
20,3,5,28,131.0,145.0,210.0,139.0
20,4,0,27,163.0,135.0,202.0,152.0
20,4,1,28,150.0,117.0,198.0,157.0
20,4,2,27,146.0,118.0,198.0,156.0
20,4,3,29,123.0,131.0,205.0,144.0
20,4,4,28,123.0,135.0,211.0,143.0
20,4,5,28,126.0,141.0,214.0,141.0
30,0,0,27,96.0,104.0,156.0,139.0
30,0,1,28,95.0,97.0,156.0,142.0
30,0,2,27,94.0,97.0,154.0,141.0
30,0,3,27,91.0,95.0,152.0,142.0
30,0,4,28,92.0,95.0,153.0,142.0
30,0,5,29,94.0,97.0,150.0,140.0
30,0,6,26,88.0,91.0,145.0,141.0
30,0,7,29,90.0,92.0,146.0,141.0
30,0,8,28,92.0,96.0,148.0,140.0
30,0,9,29,100.0,107.0,153.0,137.0
30,1,0,32,98.0,104.0,158.0,140.0
30,1,1,29,89.0,91.0,152.0,143.0
30,1,2,28,88.0,90.0,151.0,143.0
30,1,3,29,90.0,91.0,150.0,143.0
30,1,4,28,87.0,88.0,149.0,144.0
30,1,5,28,84.0,85.0,144.0,143.0
30,1,6,27,82.0,82.0,140.0,144.0
30,1,7,27,81.0,83.0,144.0,144.0
30,1,8,28,89.0,93.0,146.0,140.0
30,1,9,28,96.0,101.0,151.0,139.0
30,2,0,28,95.0,99.0,154.0,140.0
30,2,1,27,92.0,92.0,150.0,143.0
30,2,2,27,93.0,92.0,145.0,142.0
30,2,3,29,93.0,94.0,151.0,142.0
30,2,4,27,91.0,92.0,151.0,143.0
30,2,5,31,92.0,93.0,149.0,142.0
30,2,6,28,85.0,85.0,141.0,143.0
30,2,7,27,86.0,87.0,144.0,143.0
30,2,8,27,89.0,92.0,148.0,141.0
30,2,9,27,96.0,102.0,154.0,139.0
30,3,0,29,174.0,103.0,168.0,166.0
30,3,1,29,165.0,94.0,163.0,168.0
30,3,2,29,158.0,95.0,162.0,165.0
30,3,3,27,92.0,99.0,160.0,141.0
30,3,4,28,91.0,97.0,159.0,142.0
30,3,5,30,105.0,113.0,169.0,139.0
30,4,0,29,203.0,114.0,175.0,171.0
30,4,1,28,190.0,92.0,168.0,177.0
30,4,2,28,176.0,91.0,166.0,173.0
30,4,3,29,102.0,109.0,174.0,142.0
30,4,4,29,103.0,111.0,177.0,142.0
30,4,5,28,102.0,112.0,178.0,142.0
40,0,0,30,131.0,135.0,199.0,142.0
40,0,1,29,125.0,123.0,195.0,146.0
40,0,2,31,123.0,125.0,192.0,143.0
40,0,3,30,118.0,119.0,186.0,144.0
40,0,4,27,113.0,113.0,183.0,145.0
40,0,5,30,114.0,115.0,177.0,143.0
40,0,6,30,109.0,110.0,171.0,143.0
40,0,7,31,107.0,106.0,166.0,143.0
40,0,8,30,108.0,109.0,167.0,142.0
40,0,9,30,115.0,118.0,169.0,139.0
40,1,0,31,127.0,132.0,199.0,142.0
40,1,1,31,121.0,121.0,194.0,146.0
40,1,2,30,116.0,116.0,189.0,146.0
40,1,3,30,113.0,113.0,184.0,146.0
40,1,4,29,110.0,109.0,182.0,147.0
40,1,5,30,107.0,105.0,173.0,146.0
40,1,6,31,103.0,102.0,167.0,145.0
40,1,7,30,99.0,98.0,165.0,145.0
