Time,Reference_mean,Reference_std,Reference_count,Contributes_to_global_stats,Mean_all,Std_dev_all,Scale_factor,Offset
0,142.5,1.2583057392117916,6,True,142.04761904761904,1.5458956016952026,1.0,0.0
10,142.33333333333334,1.1055415967851334,6,True,142.04761904761904,1.5458956016952026,1.0,0.0
20,142.66666666666666,1.699673171197595,6,True,142.04761904761904,1.5458956016952026,1.0,0.0
30,141.5,1.2583057392117916,6,True,142.04761904761904,1.5458956016952026,1.0,0.0
40,143.16666666666666,2.3392781412697,6,True,142.04761904761904,1.5458956016952026,1.0,0.0
50,143.5,2.217355782608345,6,True,142.04761904761904,1.5458956016952026,1.0,0.0
60,138.66666666666666,0.9428090415820634,6,True,142.04761904761904,1.5458956016952026,1.0,0.0
70,141.8,1.9390719429665317,5,False,142.04761904761904,1.5458956016952026,1.0,0.0
