Time,Row,Column,Concentration,L*,a*,b*,Pinkness
60,Row 2,6,4.0,90.0,146.0,103.0,146.0
60,Row 2,7,2.0,96.0,151.0,105.0,151.0
60,Row 2,8,1.0,114.0,168.0,119.0,168.0
60,Row 2,9,0.5,121.0,174.0,123.0,174.0
60,Row 2,10,0.25,120.0,174.0,124.0,174.0
75,Row 1,1,128.0,65.0,149.0,98.0,149.0
75,Row 1,2,64.0,68.0,149.0,99.0,149.0
75,Row 1,3,32.0,71.0,147.0,99.0,147.0
75,Row 1,4,16.0,70.0,150.0,98.0,150.0
75,Row 1,5,8.0,68.0,153.0,97.0,153.0
75,Row 1,6,4.0,70.0,152.0,98.0,152.0
75,Row 1,7,2.0,66.0,153.0,101.0,153.0
75,Row 1,8,1.0,97.0,177.0,136.0,177.0
75,Row 1,9,0.5,98.0,178.0,136.0,178.0
75,Row 1,10,0.25,110.0,169.0,135.0,169.0
75,Row 2,1,128.0,61.0,147.0,102.0,147.0
75,Row 2,2,64.0,68.0,145.0,103.0,145.0
75,Row 2,3,32.0,68.0,145.0,104.0,145.0
75,Row 2,4,16.0,67.0,146.0,104.0,146.0
75,Row 2,5,8.0,63.0,150.0,100.0,150.0
75,Row 2,6,4.0,63.0,150.0,100.0,150.0
75,Row 2,7,2.0,60.0,154.0,105.0,154.0
75,Row 2,8,1.0,87.0,173.0,134.0,173.0
75,Row 2,9,0.5,96.0,173.0,135.0,173.0
75,Row 2,10,0.25,99.0,174.0,135.0,174.0
