Time,Row,Column,R_median,G_median,B_median,L_median,A_median,B_lab_median,H_median,S_median,V_median
15,0,3,116.0,116.0,196.0,133.0,148.0,86.0,120.0,105.0,196.0
15,0,4,133.0,150.0,193.0,159.0,132.0,104.0,112.0,79.0,193.0
15,0,5,144.0,158.0,221.0,169.0,138.0,94.0,115.0,89.0,221.0
15,0,6,119.0,132.0,203.0,145.0,142.0,89.0,116.0,106.0,203.0
15,0,7,176.0,192.0,229.0,198.0,130.0,108.0,111.0,58.0,229.0
15,1,1,169.0,189.0,229.0,195.0,130.0,106.0,109.0,66.0,229.0
15,1,2,136.0,134.0,219.0,151.0,149.0,85.0,121.0,99.0,219.0
15,1,3,138.0,139.0,212.0,154.0,145.0,90.0,119.0,89.0,212.0
15,1,4,131.0,146.0,212.0,158.0,139.0,92.0,115.0,99.0,212.0
15,1,5,172.0,174.0,232.0,186.0,140.0,98.0,119.0,67.0,232.0
15,1,6,161.0,176.0,227.0,185.0,134.0,101.0,113.0,74.0,227.0
15,1,7,140.0,133.0,208.0,151.0,148.0,90.0,123.0,91.0,208.0
15,2,1,193.0,211.0,235.0,214.0,127.0,113.0,107.0,48.0,235.0
15,2,2,197.0,205.0,245.0,212.0,133.0,108.0,116.0,50.0,245.0
15,2,3,201.0,218.0,248.0,222.0,128.0,112.0,109.0,47.0,248.0
15,2,4,158.0,171.0,232.0,181.0,137.0,97.0,114.0,82.0,232.0
15,2,5,155.0,146.0,227.0,164.0,150.0,89.0,124.0,90.0,227.0
15,2,6,142.0,156.0,217.0,167.0,138.0,95.0,115.0,88.0,217.0
15,2,7,169.0,186.0,233.0,194.0,132.0,103.0,112.0,69.0,233.0
20,0,1,143.0,158.0,234.0,171.0,141.0,87.0,115.0,100.0,234.0
20,0,2,135.0,152.0,225.0,164.0,140.0,89.0,114.0,102.0,225.0
20,0,3,118.0,117.0,210.0,136.0,152.0,80.0,120.0,113.0,210.0
20,0,4,146.0,166.0,209.0,173.0,131.0,104.0,110.0,77.0,209.0
20,0,5,148.0,157.0,233.0,170.0,143.0,88.0,117.0,94.0,233.0
20,0,6,124.0,133.0,218.0,148.0,147.0,83.0,117.0,110.0,218.0
20,0,7,186.0,201.0,237.0,206.0,130.0,109.0,111.0,54.0,237.0
20,1,1,180.0,199.0,238.0,204.0,130.0,105.0,110.0,64.0,238.0
20,1,2,135.0,133.0,235.0,153.0,154.0,77.0,121.0,111.0,235.0
20,1,3,141.0,142.0,226.0,158.0,147.0,86.0,119.0,96.0,226.0
20,1,4,137.0,150.0,227.0,163.0,143.0,87.0,116.0,101.0,227.0
20,1,5,171.0,175.0,242.0,187.0,142.0,93.0,118.0,77.0,242.0
20,1,6,173.0,189.0,239.0,196.0,133.0,102.0,113.0,70.0,239.0
20,1,7,140.0,135.0,220.0,153.0,149.0,86.0,122.0,98.0,220.0
20,2,1,212.0,228.0,249.0,230.0,126.0,116.0,107.0,37.0,249.0
20,2,2,209.0,216.0,251.0,221.0,133.0,110.0,116.0,41.0,251.0
20,2,3,210.0,227.0,250.0,229.0,127.0,116.0,107.0,39.0,250.0
20,2,4,168.0,182.0,245.0,191.0,137.0,95.0,115.0,80.0,245.0
