Time,Row,Column,Reaction_Area_Pct,Reaction_a_star_intensity
0,0,1,20.41134309753817,137.9740458015267
0,0,2,44.49984418822063,139.99789915966386
0,0,3,42.848239326893115,150.91854545454547
0,0,4,47.304456216889996,140.0123277737491
0,0,5,9.598005609224057,138.9350649350649
0,0,6,79.96260517295107,141.00155884645363
0,0,7,53.63041445933313,134.37826844857642
0,1,1,41.75755687129947,136.255223880597
0,1,2,43.22218759738236,150.38716654650327
0,1,3,52.664381427235895,148.85976331360945
0,1,4,55.56248052352758,138.18059450364555
0,1,5,73.54315986288563,146.67584745762713
0,1,6,59.395450296042384,137.05561385099685
0,1,7,49.11187285758803,152.80964467005074
0,2,1,53.007167341851044,131.33392122281012
0,2,2,67.31068868806481,135.7050925925926
0,2,3,53.10065440947336,131.1267605633803
0,2,4,59.89404799002804,138.8720083246618
0,2,5,37.17669055780617,153.2531433361274
0,2,6,81.61421003427859,136.3967163039328
0,2,7,52.664381427235895,136.3473372781065
5,0,1,74.54035525085696,137.61371237458195
5,0,2,37.23901526955438,141.34058577405858
5,0,3,35.8678716110938,151.88357949609036
5,0,4,29.44842630102836,141.33015873015876
5,0,5,74.8208164537239,138.77342773844234
5,0,6,57.58803365534434,142.64123376623377
5,0,7,59.11498909317544,134.88982604111754
5,1,1,44.2817076971019,135.0204081632653
5,1,2,35.40043627298224,152.95158450704227
5,1,3,78.49797444686818,149.3290988487495
5,1,4,71.54876908694298,139.97517421602788
5,1,5,75.00779058896853,146.77025342750312
5,1,6,68.27672172016204,138.55864901871294
5,1,7,84.6369585540667,152.81995581737849
5,2,1,48.73792458709879,131.4571611253197
5,2,2,69.86600186974135,136.44603033006246
5,2,3,53.13181676534746,131.6909090909091
5,2,4,68.15207229666564,140.22359396433473
5,2,5,88.78155188532253,152.51491751491753
5,2,6,48.98722343409162,138.40394402035622
5,2,7,26.02056715487691,138.9077844311377
10,0,1,58.61639139918978,139.16533758639022
10,0,2,51.10626363353069,141.45182926829267
10,0,3,59.4889373636647,152.1901519119958
10,0,4,36.771579931442815,140.05677966101695
10,0,5,32.47117482081646,139.67754318618043
10,0,6,50.57650358367093,143.1256931608133
10,0,7,28.42006855718292,136.43421052631578
10,1,1,50.26488002492988,133.19280843149411
10,1,2,56.528513555624805,153.63065049614116
10,1,3,41.16547210969149,150.36033308099925
10,1,4,78.77843564973513,139.56487341772151
10,1,5,38.79713306325958,148.14216867469878
10,1,6,64.63072608289187,137.93394406943105
10,1,7,64.03864132128389,153.45450121654503
10,2,1,55.09504518541601,130.7460407239819
10,2,2,48.76908694297289,136.07923322683706
10,2,3,53.599252103459015,130.3488372093023
10,2,4,55.7494546587722,139.89435438792623
10,2,5,82.48675599875351,152.9493766528145
10,2,6,64.66188843876597,137.87759036144578
10,2,7,27.4851978809598,138.3582766439909
15,0,1,73.88594577750078,138.04386334879797
15,0,2,45.24774072919912,139.4400826446281
15,0,3,25.33499532564662,150.10209102091022
15,0,4,58.398254908071046,133.3308431163287
15,0,5,73.94827048924898,138.3329119258323
15,0,6,59.987535057650355,141.9631168831169
15,0,7,54.34714864443752,131.10894495412845
15,1,1,53.692739171081335,130.3592571096924
15,1,2,39.326893113119354,152.30744849445327
15,1,3,86.75599875350576,144.92169540229884
15,1,4,66.99906512932378,139.65348837209302
15,1,5,37.675288251791834,142.40612076095945
15,1,6,59.80056092240573,134.99947889525794
15,1,7,60.95356808974759,148.51789366053168
15,2,1,54.876908694297285,127.81998864281658
15,2,2,28.669367404175755,135.0228260869565
15,2,3,58.741040822686195,129.02015915119364
15,2,4,59.02150202555313,137.53062302006336
15,2,5,68.83764412589592,151.00452693526483
15,2,6,86.50669990651294,137.91390489913545
15,2,7,38.018074166406976,133.79590163934427
20,0,1,65.93954502960425,142.64083175803404
20,0,2,49.205359925210345,141.3318556048132
20,0,3,30.975381738859458,153.59959758551307
20,0,4,72.63945154253662,131.68382668382668
20,0,5,64.31910252415082,143.64486434108525
20,0,6,54.28482393268931,147.64523536165328
20,0,7,25.42848239326893,131.86764705882354
20,1,1,65.84605796198193,130.59630856601987
20,1,2,69.4297288875039,154.17684021543988
20,1,3,92.17824867559987,147.13049357674103
20,1,4,77.9058896852602,143.2032
20,1,5,50.42069180430041,143.73918417799752
20,1,6,52.04113430975382,135.1131736526946
20,1,7,86.2574010595201,149.82189306358381
20,2,1,63.789342474291054,126.98534440644845
20,2,2,44.18822062947959,135.49858956276444
20,2,3,47.616079775631036,128.5431937172775
20,2,4,62.04425054534123,137.86941235560022
20,2,5,74.16640698036771,153.37226890756304
20,2,6,65.44094733561857,141.42761904761903
20,2,7,49.14303521346214,133.46163601775524
25,0,1,53.66157681520723,145.06271777003485
25,0,2,67.84044873792459,142.84428112080846
25,0,3,75.97382362106575,155.3617719442166
25,0,4,36.397631660953564,138.06250000000003
25,0,5,69.71019009037083,147.32677693339292
25,0,6,72.4836397631661,151.14058469475492
25,0,7,32.8139607354316,138.02943969610635
25,1,1,21.43970084138361,134.50726744186045
25,1,2,53.91087566220006,154.02485549132948
25,1,3,68.8064817700218,148.59646739130437
25,1,4,68.21439700841384,145.8359981726816
25,1,5,54.627609847304456,137.1996577296064
25,1,6,51.417887192271735,133.70727272727274
