Time,Row,Column,Ring,A_median,L_median
5,1,7,3,153.0,174.0
5,1,7,4,152.0,176.0
5,2,1,0,133.0,178.0
5,2,1,1,134.0,182.0
5,2,1,2,133.5,174.5
5,2,1,3,134.0,165.0
5,2,1,4,133.0,161.0
5,2,2,0,133.0,212.0
5,2,2,1,133.0,212.0
5,2,2,2,133.0,216.0
5,2,2,3,133.0,220.0
5,2,2,4,133.0,218.0
5,2,3,0,131.0,215.0
5,2,3,1,134.0,203.0
5,2,3,2,134.0,203.0
5,2,3,3,134.0,198.0
5,2,3,4,134.0,196.0
5,2,4,0,138.0,148.0
5,2,4,1,136.0,154.5
5,2,4,2,136.0,151.0
5,2,4,3,135.5,156.0
5,2,4,4,134.0,130.5
5,2,5,0,137.0,186.0
5,2,5,1,137.0,189.0
5,2,5,2,136.0,198.0
5,2,5,3,135.0,199.0
5,2,5,4,135.0,196.0
5,2,6,0,136.0,196.0
5,2,6,1,136.0,195.5
5,2,6,2,136.0,192.0
5,2,6,3,135.0,191.0
5,2,6,4,135.0,189.0
5,2,7,0,147.0,194.0
5,2,7,1,147.0,195.0
5,2,7,2,146.0,198.0
5,2,7,3,146.0,195.0
5,2,7,4,145.0,192.0
10,0,1,0,133.0,191.0
10,0,1,1,132.0,192.5
10,0,1,2,132.0,193.0
10,0,1,3,132.0,193.0
10,0,1,4,133.0,191.0
10,0,2,0,135.0,166.0
10,0,2,1,134.0,165.5
10,0,2,2,135.0,162.0
10,0,2,3,134.0,170.0
10,0,2,4,133.0,161.0
10,0,3,0,150.0,171.0
10,0,3,1,150.0,169.0
10,0,3,2,150.0,167.0
10,0,3,3,150.0,169.0
10,0,3,4,149.0,169.0
10,0,4,0,150.0,152.0
10,0,4,1,150.0,151.0
10,0,4,2,150.0,152.0
10,0,4,3,149.0,153.0
10,0,4,4,149.0,154.0
10,0,5,0,140.0,168.0
10,0,5,1,140.0,168.0
10,0,5,2,140.0,169.0
10,0,5,3,139.0,169.0
10,0,5,4,139.0,170.0
10,0,6,0,146.0,192.0
10,0,6,1,147.0,190.0
10,0,6,2,145.0,193.0
10,0,6,3,145.0,192.0
10,0,6,4,145.0,190.0
10,0,7,0,135.0,187.0
10,0,7,1,135.0,188.0
10,0,7,2,136.0,183.0
10,0,7,3,137.0,178.5
10,0,7,4,137.0,183.0
10,1,1,0,130.0,208.0
10,1,1,1,130.0,203.0
10,1,1,2,130.0,208.0
10,1,1,3,130.0,209.0
10,1,1,4,130.0,208.0
10,1,2,0,133.0,181.0
10,1,2,1,133.0,178.0
10,1,2,2,133.0,175.0
10,1,2,3,133.0,170.0
10,1,2,4,132.0,169.0
10,1,3,0,138.0,198.0
10,1,3,1,137.0,205.0
10,1,3,2,135.0,215.0
10,1,3,3,134.0,218.0
10,1,3,4,134.0,217.0
10,1,4,0,126.0,237.0
10,1,4,1,128.0,226.0
10,1,4,2,129.0,223.0
10,1,4,3,129.0,219.0
10,1,4,4,130.0,218.0
10,1,5,0,140.0,184.0
10,1,5,1,139.0,188.0
10,1,5,2,139.0,187.0
10,1,5,3,139.0,186.0
10,1,5,4,138.0,187.0
10,1,6,0,154.0,175.0
10,1,6,1,154.0,175.0
10,1,6,2,154.0,175.0
10,1,6,3,153.0,177.0
10,1,6,4,153.0,179.0
10,1,7,0,137.0,184.0
10,1,7,1,137.0,181.0
10,1,7,2,138.0,177.0
10,1,7,3,137.0,178.0
10,1,7,4,137.0,180.0
10,2,1,0,131.0,210.0
10,2,1,1,130.0,214.0
10,2,1,2,132.0,208.0
10,2,1,3,131.0,211.0
10,2,1,4,130.0,213.0
10,2,2,0,134.0,128.0
10,2,2,1,134.0,128.5
10,2,2,2,133.0,117.0
10,2,2,3,132.0,110.0
10,2,2,4,131.0,113.0
10,2,3,0,132.0,221.0
10,2,3,1,131.0,224.0
10,2,3,2,131.0,224.0
10,2,3,3,131.0,223.0
10,2,3,4,131.0,225.0
10,2,4,0,131.0,210.0
10,2,4,1,131.0,208.0
10,2,4,2,132.0,206.0
10,2,4,3,133.0,204.0
10,2,4,4,134.0,200.0
10,2,5,0,138.0,184.0
10,2,5,1,137.0,191.0
10,2,5,2,136.0,197.0
10,2,5,3,136.0,200.0
10,2,5,4,135.0,204.0
10,2,6,0,146.0,201.0
10,2,6,1,146.0,200.5
10,2,6,2,146.0,202.0
10,2,6,3,146.0,200.0
10,2,6,4,145.0,198.0
10,2,7,0,135.0,201.0
10,2,7,1,136.0,192.0
10,2,7,2,135.0,192.0
10,2,7,3,135.0,193.0
10,2,7,4,135.0,193.0
15,0,1,0,148.0,156.0
15,0,1,1,148.0,160.0
15,0,1,2,149.0,156.0
15,0,1,3,149.0,153.0
15,0,1,4,148.0,154.0
15,0,2,0,141.0,163.0
15,0,2,1,140.0,164.0
15,0,2,2,140.0,163.0
15,0,2,3,140.0,162.0
15,0,2,4,140.0,162.0
15,0,3,0,145.0,153.0
15,0,3,1,145.0,154.0
15,0,3,2,145.0,155.0
15,0,3,3,145.0,155.0
15,0,3,4,144.0,154.0
15,0,4,0,140.0,159.0
15,0,4,1,140.0,159.5
15,0,4,2,139.0,161.0
15,0,4,3,139.0,160.0
15,0,4,4,139.0,162.0
15,0,5,0,140.0,198.0
15,0,5,1,140.0,192.0
15,0,5,2,140.0,193.0
15,0,5,3,140.0,192.0
15,0,5,4,140.0,191.0
15,0,6,0,137.0,210.0
15,0,6,1,138.0,195.0
