Time,Row,Col,R_median,G_median,B_median,A_star_median,source_mean,source_std,safe_source_std,A_star_median_normalized
0,0,0,87.0,94.0,153.0,141.0,141.0,1.3416407864998738,1.3416407864998738,139.24
0,0,1,94.0,102.0,160.0,140.0,141.0,1.3416407864998738,1.3416407864998738,138.34980651291733
0,0,2,91.0,94.0,156.0,143.0,141.0,1.3416407864998738,1.3416407864998738,141.0203869741654
0,0,3,90.0,94.0,155.0,143.0,141.0,1.3416407864998738,1.3416407864998738,141.0203869741654
0,0,4,96.0,104.0,161.0,140.0,141.0,1.3416407864998738,1.3416407864998738,138.34980651291733
0,0,5,91.0,99.0,155.0,140.0,141.0,1.3416407864998738,1.3416407864998738,138.34980651291733
0,0,6,98.0,108.0,167.0,140.0,141.0,1.3416407864998738,1.3416407864998738,138.34980651291733
0,0,7,87.0,91.0,149.0,142.0,141.0,1.3416407864998738,1.3416407864998738,140.1301934870827
0,0,8,86.0,93.0,153.0,142.0,141.0,1.3416407864998738,1.3416407864998738,140.1301934870827
0,0,9,93.0,104.0,161.0,139.0,141.0,1.3416407864998738,1.3416407864998738,137.4596130258346
0,1,0,92.0,95.0,160.0,144.0,141.0,1.3416407864998738,1.3416407864998738,141.9105804612481
0,1,1,92.0,94.0,153.0,143.0,141.0,1.3416407864998738,1.3416407864998738,141.0203869741654
0,1,2,93.0,93.0,155.0,144.0,141.0,1.3416407864998738,1.3416407864998738,141.9105804612481
0,1,3,88.0,85.0,151.0,147.0,141.0,1.3416407864998738,1.3416407864998738,144.58116092249617
0,1,4,99.0,100.0,160.0,143.0,141.0,1.3416407864998738,1.3416407864998738,141.0203869741654
0,1,5,97.0,99.0,163.0,144.0,141.0,1.3416407864998738,1.3416407864998738,141.9105804612481
0,1,6,98.0,101.0,160.0,142.0,141.0,1.3416407864998738,1.3416407864998738,140.1301934870827
0,1,7,99.0,103.0,162.0,141.0,141.0,1.3416407864998738,1.3416407864998738,139.24
0,1,8,91.0,92.0,156.0,144.0,141.0,1.3416407864998738,1.3416407864998738,141.9105804612481
0,1,9,89.0,92.0,151.0,142.0,141.0,1.3416407864998738,1.3416407864998738,140.1301934870827
5,0,0,86.0,94.0,148.0,139.0,137.9,1.1357816691600546,1.1357816691600546,140.3966940326946
5,0,1,84.0,95.0,148.0,138.0,137.9,1.1357816691600546,1.1357816691600546,139.34515400297224
5,0,2,90.0,98.0,150.0,139.0,137.9,1.1357816691600546,1.1357816691600546,140.3966940326946
5,0,3,86.0,94.0,149.0,140.0,137.9,1.1357816691600546,1.1357816691600546,141.448234062417
5,0,4,93.0,104.0,155.0,137.0,137.9,1.1357816691600546,1.1357816691600546,138.29361397324988
